sinav_yili,soru_no,durum,resmi_pdf,ana_konu,alt_konu,kazanim_veya_beceri,soru_baglami,sunum_bicimi,temsil,bilgi_veya_yorum,islem_yogunlugu,okuma_yuku,modelleme_ihtiyaci,akil_yurutme,konu_birlestirme,temel_cozum_adimlari,alternatif_yontem,celdirici_hata_noktasi,kritik_ayrim,tahmini_zorluk,tahmini_sure_saniye,tasnif_guveni,kaynak_parmak_izi,not
2018,12,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Köklü Sayılar,ana kök / kök sadeleştirme,tam kare çarpan kullanma,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,orta,orta,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,kökü toplam üzerine dağıtma,kökü toplam üzerine dağıtma,kolay-orta,75,düşük,4c020b42af65,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,13,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Köklü Sayılar,ana kök / kök sadeleştirme,tam kare çarpan kullanma,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,düşük,orta,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,kökü toplam üzerine dağıtma,kökü toplam üzerine dağıtma,kolay-orta,75,düşük,e31bec75ca33,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,14,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Fonksiyonlar,girdi-çıktı / grafik,temsil dönüşümü ve değer bulma,soyut/yarı bağlamsal,çok temsilli,sözel metin+grafik,yorum/ilişki kurma,düşük,orta,orta,orta,evet,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,tanım kümesi veya bileşke sırası,tanım kümesi veya bileşke sırası,kolay-orta,75,yüksek,27224ecb3e37,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,15,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Polinomlar,polinom değeri / kalan / kök,cebirsel yapıyı dönüştürme,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,düşük,orta,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,katsayı-kök işareti,katsayı-kök işareti,kolay-orta,75,yüksek,ca989817210c,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,16,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Kümeler,küme işlemleri / Kartezyen çarpım,üyelik ve bölgeleri sınıflandırma,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,orta,yüksek,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,kesişimi iki kez sayma,kesişimi iki kez sayma,kolay-orta,75,düşük,55442a2220ac,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,17,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Sayma,çarpma ilkesi / seçim-sıralama,durumları eksiksiz sayma,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,orta,yüksek,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,sıra veya tekrar koşulu,sıra veya tekrar koşulu,kolay-orta,75,düşük,01737e5d4c02,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,18,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Problemler,çok adımlı günlük yaşam modeli,nicelik-birim-denklem kurma,soyut/yarı bağlamsal,çok temsilli,sözel metin+tablo,yorum/ilişki kurma,düşük,orta,orta,orta,evet,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,bağlam veya birim koşulu,bağlam veya birim koşulu,kolay-orta,75,orta,02f88cb11ca3,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,19,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Problemler,çok adımlı günlük yaşam modeli,nicelik-birim-denklem kurma,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,düşük,orta,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,bağlam veya birim koşulu,bağlam veya birim koşulu,kolay-orta,75,orta,7aac08b5c949,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,20,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Problemler,çok adımlı günlük yaşam modeli,nicelik-birim-denklem kurma,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,orta,orta,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,bağlam veya birim koşulu,bağlam veya birim koşulu,kolay-orta,75,orta,9f9ff2d413aa,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,21,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Problemler,çok adımlı günlük yaşam modeli,nicelik-birim-denklem kurma,soyut/yarı bağlamsal,çok temsilli,sözel metin+grafik,yorum/ilişki kurma,orta,orta,orta,orta,evet,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,bağlam veya birim koşulu,bağlam veya birim koşulu,kolay-orta,75,orta,daebc9dcb076,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,22,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Problemler,çok adımlı günlük yaşam modeli,nicelik-birim-denklem kurma,günlük yaşam,çok temsilli,sözel metin+günlük yaşam senaryosu,yorum/ilişki kurma,düşük,orta,yüksek,orta,evet,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,bağlam veya birim koşulu,bağlam veya birim koşulu,orta,105,orta,02070a74ce7e,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,23,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Problemler,çok adımlı günlük yaşam modeli,nicelik-birim-denklem kurma,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,düşük,orta,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,bağlam veya birim koşulu,bağlam veya birim koşulu,kolay-orta,75,orta,6aaeb9e50311,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,24,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Problemler,çok adımlı günlük yaşam modeli,nicelik-birim-denklem kurma,günlük yaşam,çok temsilli,sözel metin+günlük yaşam senaryosu,yorum/ilişki kurma,orta,yüksek,yüksek,yüksek,evet,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,bağlam veya birim koşulu,bağlam veya birim koşulu,zor,150,orta,31e7c0c86df5,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,25,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Problemler,çok adımlı günlük yaşam modeli,nicelik-birim-denklem kurma,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,orta,orta,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,bağlam veya birim koşulu,bağlam veya birim koşulu,kolay-orta,75,orta,9c72769f6069,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,26,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Problemler,çok adımlı günlük yaşam modeli,nicelik-birim-denklem kurma,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,orta,yüksek,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,bağlam veya birim koşulu,bağlam veya birim koşulu,kolay-orta,75,orta,45829042b90a,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,27,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Problemler,çok adımlı günlük yaşam modeli,nicelik-birim-denklem kurma,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,orta,orta,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,bağlam veya birim koşulu,bağlam veya birim koşulu,kolay-orta,75,orta,1476ca249e14,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,28,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Problemler,çok adımlı günlük yaşam modeli,nicelik-birim-denklem kurma,günlük yaşam,çok temsilli,sözel metin+günlük yaşam senaryosu,yorum/ilişki kurma,düşük,orta,yüksek,orta,evet,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,bağlam veya birim koşulu,bağlam veya birim koşulu,orta,105,orta,ae1d31ef51b5,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,29,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Olasılık,örnek uzay / olay,istenen ve tüm durumları sayma,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,düşük,orta,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,eş olasılık veya tümleyen,eş olasılık veya tümleyen,kolay-orta,75,düşük,4785dd63ec35,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,30,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Olasılık,örnek uzay / olay,istenen ve tüm durumları sayma,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,düşük,yüksek,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,eş olasılık veya tümleyen,eş olasılık veya tümleyen,kolay-orta,75,düşük,e35c14494fa4,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,31,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Açılar ve Üçgenler,açı-kenar / özel üçgen,şekilden zorunlu ilişki çıkarma,geometrik düzenek,tek temsilli,şekil,yorum/ilişki kurma,düşük,düşük,düşük,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,ölçeksiz şekilden varsayım,ölçeksiz şekilden varsayım,kolay-orta,75,düşük,metin-cikmadi,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,32,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Açılar ve Üçgenler,açı-kenar / özel üçgen,şekilden zorunlu ilişki çıkarma,geometrik düzenek,çok temsilli,sözel metin+şekil,yorum/ilişki kurma,düşük,orta,orta,orta,evet,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,ölçeksiz şekilden varsayım,ölçeksiz şekilden varsayım,kolay-orta,75,orta,5b3db747fe5d,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,33,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Açılar ve Üçgenler,açı-kenar / özel üçgen,şekilden zorunlu ilişki çıkarma,geometrik düzenek,çok temsilli,sözel metin+şekil,yorum/ilişki kurma,orta,orta,orta,orta,evet,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,ölçeksiz şekilden varsayım,ölçeksiz şekilden varsayım,kolay-orta,75,orta,11c28d2b51de,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,34,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Dörtgenler,kare-dikdörtgen-yamuk,parçalara ayırma ve alan/oran,geometrik düzenek,çok temsilli,sözel metin+şekil,yorum/ilişki kurma,orta,orta,orta,orta,evet,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,özel dörtgen koşulu,özel dörtgen koşulu,kolay-orta,75,orta,ebd0ece04287,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,35,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Dörtgenler,kare-dikdörtgen-yamuk,parçalara ayırma ve alan/oran,geometrik düzenek,çok temsilli,sözel metin+şekil,yorum/ilişki kurma,orta,orta,orta,orta,evet,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,özel dörtgen koşulu,özel dörtgen koşulu,kolay-orta,75,orta,9da88d5c1ab2,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,36,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Dörtgenler,kare-dikdörtgen-yamuk,parçalara ayırma ve alan/oran,geometrik düzenek,çok temsilli,sözel metin+şekil,yorum/ilişki kurma,orta,orta,orta,orta,evet,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,özel dörtgen koşulu,özel dörtgen koşulu,kolay-orta,75,orta,1e23ad7e7cf1,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,37,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Çokgenler,iç-dış açı / düzgün çokgen,üçgenlere ayırma,geometrik düzenek,çok temsilli,sözel metin+şekil,yorum/ilişki kurma,düşük,orta,orta,orta,evet,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,iç ve dış açıyı karıştırma,iç ve dış açıyı karıştırma,kolay-orta,75,orta,16e3c07e16a1,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,38,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Çember ve Daire,çember açısı / yay / alan,merkez açı oranı kurma,geometrik düzenek,tek temsilli,şekil,yorum/ilişki kurma,düşük,düşük,düşük,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,çevre ile alanı karıştırma,çevre ile alanı karıştırma,kolay-orta,75,düşük,metin-cikmadi,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,39,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Analitik Geometri,nokta-doğru / eğim-uzaklık,geometriyi koordinata çevirme,geometrik düzenek,tek temsilli,şekil,yorum/ilişki kurma,düşük,düşük,düşük,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,koordinat veya eğim işareti,koordinat veya eğim işareti,kolay-orta,75,düşük,metin-cikmadi,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2018,40,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2018/YKS/TYT_01072018.pdf,Katı Cisimler,yüzey / hacim / açınım,üç boyutlu modeli parçalama,geometrik düzenek,tek temsilli,şekil,yorum/ilişki kurma,düşük,düşük,düşük,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,alan-hacim ve birim ayrımı,alan-hacim ve birim ayrımı,kolay-orta,75,düşük,metin-cikmadi,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2019,1,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2019/YKS/TSK/tyt_yks_2019_web.pdf,Temel Kavramlar,sayı özelliği / yeni tanım,koşulu matematik diline çevirme,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,düşük,orta,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,örnek ve karşı örnek,örnek ve karşı örnek,kolay-orta,75,düşük,030c7b25651e,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
2019,2,geçerli,https://dokuman.osym.gov.tr/pdfdokuman/2019/YKS/TSK/tyt_yks_2019_web.pdf,Temel Kavramlar,sayı özelliği / yeni tanım,koşulu matematik diline çevirme,soyut/yarı bağlamsal,tek temsilli,sözel metin,yorum/ilişki kurma,orta,orta,orta,orta,hayır,verileni ayır → uygun temsili kur → koşulu uygula → seçenek/sınırla kontrol et,seçenek eleme veya tersine çalışma; şekil sorusunda yardımcı çizgi/oran,örnek ve karşı örnek,örnek ve karşı örnek,kolay-orta,75,düşük,178e3fbf5626,Baskın beceriye göre DRKOÇ editöryal sınıflandırması; soru metni yeniden yayımlanmamıştır.
